StoryTitle,SectionTitle,Sentence
A TERROR IN THE DARK,Chapter 1,async_ play- wright Starts the Play- wright 
A TERROR IN THE DARK,Chapter 1,enviro- nment for browser autom- ation
A TERROR IN THE DARK,Chapter 1,from playwright .async_ api import async_ play wright
A TERROR IN THE DARK,Chapter 1,async with async_ playwright() as p:
A TERROR IN THE DARK,Chapter 1,browser = await p. chromium .launch()
A TERROR IN THE DARK,Chapter 1,launch() Launches a browser instance (Chromium Firefox  WebKit)
A TERROR IN THE DARK,Chapter 1,browser = await p. chromium .launch (headless = False)
A TERROR IN THE DARK,Chapter 1,new_ context() Creates a new browser context 
A TERROR IN THE DARK,Chapter 1, for isolated sessions
A TERROR IN THE DARK,Chapter 1,context = await browser .new_ context()
A TERROR IN THE DARK,Chapter 1,new_  page() Opens a new tab (page)
A TERROR IN THE DARK,Chapter 1, within the browser context
A TERROR IN THE DARK,Chapter 1,page = await context .new_ page()
A TERROR IN THE DARK,Chapter 1,goto() Navigates to a specified URL
A TERROR IN THE DARK,Chapter 1,await page. Goto (website link)
A TERROR IN THE DARK,Chapter 1,click() Clicks on an element matching the selector
A TERROR IN THE DARK,Chapter 1,"await page .click( ""text = Login"")"
A TERROR IN THE DARK,Chapter 1,fill() Fills an input field with the provided text
A TERROR IN THE DARK,Chapter 1,"await page .fill(""# username"", ""john _doe"")"
A TERROR IN THE DARK,Chapter 1,type() Types text into an element
A TERROR IN THE DARK,Chapter 1,simulating real keystrokes
A TERROR IN THE DARK,Chapter 1,"await page. type(""# search"", ""playwright "")"
A TERROR IN THE DARK,Chapter 1,press() Simulates pressing a keyboard key
A TERROR IN THE DARK,Chapter 2,"await page. press(""# input"", ""Enter"")"
A TERROR IN THE DARK,Chapter 2,wait _for_ selector()
A TERROR IN THE DARK,Chapter 2,Waits for-an element matching the selector to appear.
A TERROR IN THE DARK,Chapter 2,"await page. Wait _for_ selector (""div .alert- success "")"
A TERROR IN THE DARK,Chapter 2,is_ visible() Checks if the element is visible on the pa
A TERROR IN THE DARK,Chapter 2,"visible = await page .is_ visible (""text = Submit"")"
A TERROR IN THE DARK,Chapter 2,screen- shot() Takes a screen shot of 
A TERROR IN THE DARK,Chapter 2, the full page or a specific element
A TERROR IN THE DARK,Chapter 2,"await page. Screen- shot (path =""pic .png"")"
A TERROR IN THE DARK,Chapter 2,title() Gets the title of the current web page
A TERROR IN THE DARK,Chapter 2,url Returns the current URL of the page
A TERROR IN THE DARK,Chapter 2,print (page .url)
A TERROR IN THE DARK,Chapter 2,content Returns the HTML content of the page
A TERROR IN THE DARK,Chapter 2,html = await page. content()
